date,discharge_cfs
2022-10-01,646.0
2022-10-02,652.0
2022-10-03,646.0
2022-10-04,646.0
2022-10-05,651.0
2022-10-06,663.0
2022-10-07,664.0
2022-10-08,665.0
2022-10-09,667.0
2022-10-10,667.0
2022-10-11,692.0
2022-10-12,674.0
2022-10-13,680.0
2022-10-14,675.0
2022-10-15,671.0
2022-10-16,676.0
2022-10-17,677.0
2022-10-18,677.0
2022-10-19,689.0
2022-10-20,670.0
2022-10-21,671.0
2022-10-22,671.0
2022-10-23,672.0
2022-10-24,673.0
2022-10-25,672.0
2022-10-26,677.0
2022-10-27,677.0
2022-10-28,674.0
2022-10-29,678.0
2022-10-30,677.0
2022-10-31,676.0
2022-11-01,679.0
2022-11-02,682.0
2022-11-03,682.0
2022-11-04,677.0
2022-11-05,681.0
2022-11-06,680.0
2022-11-07,684.0
2022-11-08,685.0
2022-11-09,683.0
2022-11-10,677.0
2022-11-11,678.0
2022-11-12,681.0
2022-11-13,681.0
2022-11-14,682.0
2022-11-15,677.0
2022-11-16,678.0
2022-11-17,685.0
2022-11-18,684.0
2022-11-19,686.0
2022-11-20,685.0
2022-11-21,687.0
2022-11-22,686.0
2022-11-23,686.0
2022-11-24,684.0
2022-11-25,683.0
2022-11-26,683.0
2022-11-27,683.0
2022-11-28,683.0
2022-11-29,683.0
2022-11-30,680.0
2022-12-01,685.0
2022-12-02,683.0
2022-12-03,686.0
2022-12-04,679.0
2022-12-05,682.0
2022-12-06,678.0
2022-12-07,680.0
2022-12-08,684.0
2022-12-09,680.0
2022-12-10,685.0
2022-12-11,681.0
2022-12-12,679.0
2022-12-13,679.0
2022-12-14,679.0
2022-12-15,680.0
2022-12-16,678.0
2022-12-17,678.0
2022-12-18,679.0
2022-12-19,679.0
2022-12-20,680.0
2022-12-21,680.0
2022-12-22,682.0
2022-12-23,681.0
2022-12-24,682.0
2022-12-25,683.0
2022-12-26,688.0
2022-12-27,688.0
2022-12-28,687.0
2022-12-29,689.0
2022-12-30,694.0
2022-12-31,695.0
2023-01-01,681.0
2023-01-02,683.0
2023-01-03,680.0
2023-01-04,681.0
2023-01-05,697.0
2023-01-06,680.0
2023-01-07,681.0
2023-01-08,681.0
2023-01-09,689.0
2023-01-10,685.0
2023-01-11,681.0
2023-01-12,678.0
2023-01-13,691.0
2023-01-14,684.0
2023-01-15,681.0
2023-01-16,681.0
2023-01-17,688.0
2023-01-18,683.0
2023-01-19,689.0
2023-01-20,681.0
2023-01-21,682.0
2023-01-22,683.0
2023-01-23,681.0
2023-01-24,683.0
2023-01-25,683.0
2023-01-26,686.0
2023-01-27,684.0
2023-01-28,684.0
2023-01-29,687.0
2023-01-30,682.0
2023-01-31,681.0
2023-02-01,684.0
2023-02-02,684.0
2023-02-03,681.0
2023-02-04,683.0
2023-02-05,682.0
2023-02-06,679.0
2023-02-07,674.0
2023-02-08,675.0
2023-02-09,674.0
2023-02-10,691.0
2023-02-11,679.0
2023-02-12,676.0
2023-02-13,678.0
2023-02-14,690.0
2023-02-15,697.0
2023-02-16,695.0
2023-02-17,696.0
2023-02-18,696.0
2023-02-19,690.0
2023-02-20,687.0
2023-02-21,685.0
2023-02-22,689.0
2023-02-23,688.0
2023-02-24,695.0
2023-02-25,690.0
2023-02-26,691.0
2023-02-27,687.0
2023-02-28,692.0
2023-03-01,691.0
2023-03-02,691.0
2023-03-03,691.0
2023-03-04,691.0
2023-03-05,693.0
2023-03-06,693.0
2023-03-07,878.0
2023-03-08,1100.0
2023-03-09,1100.0
2023-03-10,2090.0
2023-03-11,3010.0
2023-03-12,3000.0
2023-03-13,2990.0
2023-03-14,3020.0
2023-03-15,5940.0
2023-03-16,11000.0
2023-03-17,18000.0
2023-03-18,23000.0
2023-03-19,23000.0
2023-03-20,20600.0
2023-03-21,12500.0
2023-03-22,6160.0
2023-03-23,4050.0
2023-03-24,4010.0
2023-03-25,4000.0
2023-03-26,4030.0
2023-03-27,4020.0
2023-03-28,7090.0
2023-03-29,5230.0
2023-03-30,3070.0
2023-03-31,2050.0
2023-04-01,1890.0
2023-04-02,1920.0
2023-04-03,1950.0
2023-04-04,1940.0
2023-04-05,1750.0
2023-04-06,1420.0
2023-04-07,1090.0
2023-04-08,979.0
2023-04-09,973.0
2023-04-10,971.0
2023-04-11,3050.0
2023-04-12,3520.0
2023-04-13,2850.0
2023-04-14,2710.0
2023-04-15,3240.0
2023-04-16,3530.0
2023-04-17,3540.0
2023-04-18,3550.0
2023-04-19,3550.0
2023-04-20,3540.0
2023-04-21,3570.0
2023-04-22,3600.0
2023-04-23,3580.0
2023-04-24,3580.0
2023-04-25,3570.0
2023-04-26,5400.0
2023-04-27,7810.0
2023-04-28,9100.0
2023-04-29,9570.0
2023-04-30,9540.0
2023-05-01,9590.0
2023-05-02,7340.0
2023-05-03,3760.0
2023-05-04,2360.0
2023-05-05,2060.0
2023-05-06,1700.0
2023-05-07,1440.0
2023-05-08,1120.0
2023-05-09,929.0
2023-05-10,765.0
2023-05-11,680.0
2023-05-12,685.0
2023-05-13,2310.0
2023-05-14,5510.0
2023-05-15,6940.0
2023-05-16,7510.0
2023-05-17,7690.0
2023-05-18,7700.0
2023-05-19,6570.0
2023-05-20,5700.0
2023-05-21,5690.0
2023-05-22,5670.0
2023-05-23,5080.0
2023-05-24,4060.0
2023-05-25,3090.0
2023-05-26,2390.0
2023-05-27,2230.0
2023-05-28,2210.0
2023-05-29,2220.0
2023-05-30,2260.0
2023-05-31,2280.0
2023-06-01,2230.0
