date,Flow_Upstream,Flow_Downstream
2015-01-01,1870.0,7880.0
2015-01-02,1680.0,7340.0
2015-01-03,1530.0,6850.0
2015-01-04,1420.0,6480.0
2015-01-05,1330.0,6210.0
2015-01-06,1270.0,5940.0
2015-01-07,1220.0,5690.0
2015-01-08,1180.0,5490.0
2015-01-09,1150.0,5300.0
2015-01-10,1130.0,5130.0
2015-01-11,1110.0,4970.0
2015-01-12,1080.0,4800.0
2015-01-13,1060.0,4630.0
2015-01-14,1040.0,4490.0
2015-01-15,1010.0,4360.0
2015-01-16,991.0,4240.0
2015-01-17,975.0,4140.0
2015-01-18,962.0,4040.0
2015-01-19,995.0,3980.0
2015-01-20,1140.0,3930.0
2015-01-21,1460.0,3910.0
2015-01-22,1480.0,4430.0
2015-01-23,1370.0,4960.0
2015-01-24,1240.0,4860.0
2015-01-25,1120.0,4620.0
2015-01-26,1010.0,4360.0
2015-01-27,918.0,4130.0
2015-01-28,849.0,3970.0
2015-01-29,795.0,3810.0
2015-01-30,754.0,3680.0
2015-01-31,714.0,3560.0
2015-02-01,679.0,3440.0
2015-02-02,647.0,3320.0
2015-02-03,619.0,3210.0
2015-02-04,588.0,3120.0
2015-02-05,562.0,3030.0
2015-02-06,536.0,2940.0
2015-02-07,512.0,2860.0
2015-02-08,489.0,2790.0
2015-02-09,470.0,2710.0
2015-02-10,452.0,2630.0
2015-02-11,434.0,2570.0
2015-02-12,418.0,2500.0
2015-02-13,404.0,2420.0
2015-02-14,391.0,2360.0
2015-02-15,379.0,2280.0
2015-02-16,368.0,2230.0
2015-02-17,357.0,2180.0
2015-02-18,348.0,2130.0
2015-02-19,337.0,2090.0
2015-02-20,329.0,2050.0
2015-02-21,321.0,2010.0
2015-02-22,313.0,1960.0
2015-02-23,305.0,1940.0
2015-02-24,298.0,1900.0
2015-02-25,292.0,1870.0
2015-02-26,286.0,1840.0
2015-02-27,280.0,1820.0
2015-02-28,275.0,1790.0
2015-03-01,269.0,1760.0
2015-03-02,265.0,1740.0
2015-03-03,260.0,1720.0
2015-03-04,256.0,1710.0
2015-03-05,251.0,1690.0
2015-03-06,247.0,1660.0
2015-03-07,242.0,1640.0
2015-03-08,238.0,1610.0
2015-03-09,235.0,1590.0
2015-03-10,231.0,1570.0
2015-03-11,228.0,1550.0
2015-03-12,225.0,1530.0
2015-03-13,221.0,1510.0
2015-03-14,219.0,1500.0
2015-03-15,216.0,1480.0
2015-03-16,213.0,1460.0
2015-03-17,210.0,1450.0
2015-03-18,208.0,1440.0
2015-03-19,205.0,1420.0
2015-03-20,203.0,1410.0
2015-03-21,201.0,1400.0
2015-03-22,199.0,1390.0
2015-03-23,197.0,1380.0
2015-03-24,196.0,1370.0
2015-03-25,194.0,1360.0
2015-03-26,192.0,1350.0
2015-03-27,191.0,1340.0
2015-03-28,190.0,1340.0
2015-03-29,189.0,1330.0
2015-03-30,189.0,1320.0
2015-03-31,188.0,1320.0
2015-04-01,188.0,1320.0
2015-04-02,186.0,1320.0
2015-04-03,187.0,1330.0
2015-04-04,190.0,1340.0
2015-04-05,195.0,1370.0
2015-04-06,207.0,1400.0
2015-04-07,225.0,1440.0
2015-04-08,248.0,1490.0
2015-04-09,279.0,1600.0
2015-04-10,320.0,1790.0
2015-04-11,383.0,2140.0
2015-04-12,498.0,2590.0
2015-04-13,721.0,3350.0
2015-04-14,1250.0,6290.0
2015-04-15,2500.0,14300.0
2015-04-16,6190.0,24900.0
2015-04-17,12600.0,33500.0
2015-04-18,16200.0,44400.0
2015-04-19,20600.0,52800.0
2015-04-20,18600.0,53100.0
2015-04-21,16400.0,51100.0
2015-04-22,18300.0,55200.0
2015-04-23,19700.0,62700.0
2015-04-24,20400.0,66700.0
2015-04-25,16200.0,63000.0
2015-04-26,12600.0,54400.0
2015-04-27,11600.0,50100.0
2015-04-28,12200.0,50200.0
2015-04-29,13100.0,50400.0
2015-04-30,13200.0,50000.0
2015-05-01,11900.0,47000.0
2015-05-02,10700.0,43100.0
2015-05-03,10000.0,40000.0
2015-05-04,9160.0,37100.0
2015-05-05,8920.0,34100.0
2015-05-06,8000.0,32100.0
2015-05-07,6280.0,28100.0
2015-05-08,4950.0,23700.0
2015-05-09,3940.0,20100.0
2015-05-10,3480.0,17700.0
2015-05-11,4480.0,16900.0
2015-05-12,5280.0,17800.0
2015-05-13,7880.0,20800.0
2015-05-14,7690.0,25800.0
2015-05-15,5500.0,22800.0
2015-05-16,3850.0,18100.0
2015-05-17,2940.0,14800.0
2015-05-18,2410.0,12800.0
2015-05-19,2100.0,11600.0
2015-05-20,2130.0,10800.0
2015-05-21,2090.0,10400.0
2015-05-22,1870.0,10000.0
2015-05-23,1580.0,9440.0
2015-05-24,1360.0,8720.0
2015-05-25,1180.0,8080.0
2015-05-26,1150.0,7550.0
2015-05-27,2290.0,7610.0
2015-05-28,2930.0,9800.0
2015-05-29,2990.0,11800.0
2015-05-30,2610.0,11500.0
2015-05-31,2810.0,10200.0
2015-06-01,3750.0,9750.0
2015-06-02,2900.0,10300.0
2015-06-03,2530.0,9520.0
2015-06-04,2320.0,9060.0
2015-06-05,1870.0,8560.0
2015-06-06,1650.0,7790.0
2015-06-07,1570.0,7280.0
2015-06-08,1300.0,6890.0
2015-06-09,3320.0,7090.0
2015-06-10,7140.0,10500.0
2015-06-11,10600.0,19000.0
2015-06-12,9490.0,24100.0
2015-06-13,6360.0,21000.0
2015-06-14,4340.0,16100.0
2015-06-15,3020.0,12700.0
2015-06-16,2190.0,10600.0
2015-06-17,2010.0,9750.0
2015-06-18,2040.0,9220.0
2015-06-19,2300.0,9150.0
2015-06-20,2960.0,9320.0
2015-06-21,2270.0,9570.0
2015-06-22,1720.0,8480.0
2015-06-23,1410.0,7550.0
2015-06-24,1260.0,7030.0
2015-06-25,1230.0,6440.0
2015-06-26,1000.0,5900.0
2015-06-27,793.0,5360.0
2015-06-28,664.0,4780.0
2015-06-29,667.0,4750.0
2015-06-30,841.0,4840.0
2015-07-01,837.0,4910.0
2015-07-02,1820.0,5650.0
2015-07-03,2470.0,6710.0
2015-07-04,1790.0,7770.0
2015-07-05,1210.0,6630.0
2015-07-06,873.0,5540.0
2015-07-07,688.0,4690.0
2015-07-08,708.0,4170.0
2015-07-09,1000.0,4030.0
2015-07-10,827.0,4070.0
