date,streamflow_cfs
2023-01-01,109000.0
2023-01-02,99800.0
2023-01-03,87600.0
2023-01-04,78500.0
2023-01-05,71100.0
2023-01-06,67700.0
2023-01-07,65200.0
2023-01-08,65500.0
2023-01-09,65200.0
2023-01-10,66500.0
2023-01-11,61000.0
2023-01-12,57100.0
2023-01-13,58100.0
2023-01-14,56200.0
2023-01-15,54000.0
2023-01-16,57400.0
2023-01-17,60000.0
2023-01-18,54400.0
2023-01-19,50900.0
2023-01-20,45800.0
2023-01-21,39700.0
2023-01-22,36300.0
2023-01-23,32200.0
2023-01-24,29700.0
2023-01-25,26900.0
2023-01-26,24400.0
2023-01-27,22800.0
2023-01-28,22300.0
2023-01-29,23100.0
2023-01-30,21500.0
2023-01-31,19900.0
2023-02-01,18500.0
2023-02-02,17200.0
2023-02-03,16200.0
2023-02-04,16300.0
2023-02-05,16600.0
2023-02-06,19800.0
2023-02-07,21300.0
2023-02-08,23900.0
2023-02-09,25100.0
2023-02-10,24100.0
2023-02-11,23400.0
2023-02-12,21400.0
2023-02-13,19600.0
2023-02-14,20800.0
2023-02-15,20600.0
2023-02-16,19900.0
2023-02-17,18800.0
2023-02-18,18200.0
2023-02-19,17400.0
2023-02-20,16600.0
2023-02-21,16400.0
2023-02-22,19700.0
2023-02-23,22000.0
2023-02-24,22200.0
2023-02-25,20400.0
2023-02-26,19900.0
2023-02-27,21700.0
2023-02-28,24600.0
2023-03-01,27000.0
2023-03-02,27200.0
2023-03-03,26000.0
2023-03-04,25700.0
2023-03-05,27400.0
2023-03-06,28000.0
2023-03-07,27600.0
2023-03-08,26900.0
2023-03-09,26800.0
2023-03-10,27600.0
2023-03-11,32400.0
2023-03-12,33600.0
2023-03-13,40100.0
2023-03-14,53200.0
2023-03-15,49700.0
2023-03-16,51700.0
2023-03-17,44600.0
2023-03-18,38900.0
2023-03-19,35600.0
2023-03-20,34500.0
2023-03-21,35400.0
2023-03-22,35200.0
2023-03-23,33400.0
2023-03-24,33400.0
2023-03-25,36200.0
2023-03-26,38000.0
2023-03-27,38000.0
2023-03-28,37000.0
2023-03-29,39200.0
2023-03-30,40800.0
2023-03-31,38100.0
2023-04-01,38500.0
2023-04-02,48000.0
2023-04-03,55200.0
2023-04-04,54600.0
2023-04-05,51100.0
2023-04-06,48100.0
2023-04-07,52900.0
2023-04-08,61400.0
2023-04-09,61200.0
2023-04-10,66500.0
2023-04-11,90200.0
2023-04-12,99200.0
2023-04-13,93700.0
2023-04-14,81200.0
2023-04-15,67800.0
2023-04-16,57800.0
2023-04-17,51400.0
2023-04-18,47900.0
2023-04-19,47400.0
2023-04-20,48100.0
2023-04-21,51500.0
2023-04-22,56300.0
2023-04-23,61900.0
2023-04-24,67000.0
2023-04-25,68200.0
2023-04-26,65300.0
2023-04-27,60300.0
2023-04-28,58000.0
2023-04-29,58100.0
2023-04-30,58500.0
2023-05-01,54600.0
2023-05-02,48800.0
2023-05-03,43900.0
2023-05-04,40900.0
2023-05-05,39400.0
2023-05-06,37500.0
2023-05-07,36500.0
2023-05-08,36600.0
2023-05-09,36100.0
2023-05-10,34700.0
2023-05-11,33200.0
2023-05-12,33600.0
2023-05-13,32800.0
2023-05-14,33200.0
2023-05-15,34200.0
2023-05-16,33600.0
2023-05-17,32100.0
2023-05-18,31700.0
2023-05-19,30900.0
2023-05-20,29400.0
2023-05-21,27400.0
2023-05-22,25400.0
2023-05-23,24900.0
2023-05-24,24700.0
2023-05-25,23400.0
2023-05-26,22700.0
2023-05-27,22800.0
2023-05-28,21100.0
2023-05-29,20700.0
2023-05-30,18800.0
2023-05-31,17300.0
2023-06-01,17400.0
2023-06-02,17600.0
2023-06-03,15900.0
2023-06-04,13500.0
2023-06-05,13100.0
2023-06-06,14300.0
2023-06-07,15000.0
2023-06-08,14800.0
2023-06-09,13600.0
2023-06-10,12600.0
2023-06-11,11700.0
2023-06-12,13700.0
2023-06-13,13400.0
2023-06-14,12600.0
2023-06-15,12500.0
2023-06-16,12700.0
2023-06-17,10600.0
2023-06-18,11300.0
2023-06-19,12100.0
2023-06-20,11600.0
2023-06-21,11100.0
2023-06-22,9070.0
2023-06-23,9140.0
2023-06-24,10500.0
2023-06-25,8680.0
2023-06-26,8940.0
2023-06-27,10000.0
2023-06-28,11100.0
2023-06-29,10500.0
2023-06-30,8990.0
2023-07-01,10100.0
2023-07-02,8570.0
2023-07-03,7940.0
2023-07-04,8050.0
2023-07-05,7680.0
2023-07-06,8290.0
2023-07-07,8210.0
2023-07-08,7950.0
2023-07-09,8100.0
2023-07-10,8950.0
2023-07-11,8710.0
2023-07-12,9240.0
2023-07-13,9000.0
2023-07-14,8180.0
2023-07-15,6440.0
2023-07-16,7350.0
2023-07-17,6990.0
2023-07-18,5210.0
2023-07-19,7490.0
2023-07-20,8780.0
2023-07-21,7950.0
2023-07-22,7430.0
2023-07-23,6660.0
2023-07-24,6740.0
2023-07-25,6200.0
2023-07-26,5070.0
2023-07-27,6130.0
2023-07-28,6470.0
2023-07-29,9030.0
2023-07-30,8180.0
2023-07-31,6660.0
2023-08-01,5770.0
2023-08-02,6330.0
2023-08-03,6020.0
2023-08-04,6750.0
2023-08-05,6190.0
2023-08-06,7180.0
2023-08-07,6690.0
2023-08-08,6320.0
2023-08-09,7620.0
2023-08-10,6130.0
2023-08-11,8200.0
2023-08-12,6220.0
2023-08-13,6220.0
2023-08-14,5520.0
2023-08-15,8600.0
2023-08-16,7820.0
2023-08-17,6600.0
2023-08-18,6370.0
2023-08-19,6030.0
2023-08-20,6230.0
2023-08-21,7210.0
2023-08-22,7610.0
2023-08-23,6140.0
2023-08-24,4620.0
2023-08-25,4730.0
2023-08-26,7330.0
2023-08-27,8230.0
2023-08-28,8660.0
2023-08-29,8260.0
2023-08-30,7190.0
2023-08-31,7600.0
2023-09-01,9650.0
2023-09-02,9380.0
2023-09-03,7900.0
2023-09-04,7540.0
2023-09-05,6760.0
