date,precip_mm,streamflow_cfs
2023-01-01,0.3,109000.0
2023-01-02,0.0,99800.0
2023-01-03,0.0,87600.0
2023-01-04,0.5,78500.0
2023-01-05,0.0,71100.0
2023-01-06,3.0,67700.0
2023-01-07,7.1,65200.0
2023-01-08,7.6,65500.0
2023-01-09,6.9,65200.0
2023-01-10,0.0,66500.0
2023-01-11,2.3,61000.0
2023-01-12,11.7,57100.0
2023-01-13,10.9,58100.0
2023-01-14,1.5,56200.0
2023-01-15,10.7,54000.0
2023-01-16,0.0,57400.0
2023-01-17,2.0,60000.0
2023-01-18,4.6,54400.0
2023-01-19,0.0,50900.0
2023-01-20,0.0,45800.0
2023-01-21,3.3,39700.0
2023-01-22,0.8,36300.0
2023-01-23,0.0,32200.0
2023-01-24,0.0,29700.0
2023-01-25,0.0,26900.0
2023-01-26,0.8,24400.0
2023-01-27,2.5,22800.0
2023-01-28,2.0,22300.0
2023-01-29,0.0,23100.0
2023-01-30,0.0,21500.0
2023-01-31,0.0,19900.0
2023-02-01,0.0,18500.0
2023-02-02,0.0,17200.0
2023-02-03,5.3,16200.0
2023-02-04,3.6,16300.0
2023-02-05,1.8,16600.0
2023-02-06,0.5,19800.0
2023-02-07,10.2,21300.0
2023-02-08,0.0,23900.0
2023-02-09,2.3,25100.0
2023-02-10,0.0,24100.0
2023-02-11,0.0,23400.0
2023-02-12,0.3,21400.0
2023-02-13,8.9,19600.0
2023-02-14,0.0,20800.0
2023-02-15,0.0,20600.0
2023-02-16,0.0,19900.0
2023-02-17,5.1,18800.0
2023-02-18,0.8,18200.0
2023-02-19,1.3,17400.0
2023-02-20,5.6,16600.0
2023-02-21,1.5,16400.0
2023-02-22,0.5,19700.0
2023-02-23,0.0,22000.0
2023-02-24,0.0,22200.0
2023-02-25,0.5,20400.0
2023-02-26,7.1,19900.0
2023-02-27,3.8,21700.0
2023-02-28,1.0,24600.0
2023-03-01,0.5,27000.0
2023-03-02,4.1,27200.0
2023-03-03,5.6,26000.0
2023-03-04,9.9,25700.0
2023-03-05,7.6,27400.0
2023-03-06,0.3,28000.0
2023-03-07,0.8,27600.0
2023-03-08,0.3,26900.0
2023-03-09,0.0,26800.0
2023-03-10,4.1,27600.0
2023-03-11,0.8,32400.0
2023-03-12,6.1,33600.0
2023-03-13,10.4,40100.0
2023-03-14,0.0,53200.0
2023-03-15,0.0,49700.0
2023-03-16,0.0,51700.0
2023-03-17,0.0,44600.0
2023-03-18,0.0,38900.0
2023-03-19,0.0,35600.0
2023-03-20,3.6,34500.0
2023-03-21,0.0,35400.0
2023-03-22,0.0,35200.0
2023-03-23,1.0,33400.0
2023-03-24,0.0,33400.0
2023-03-25,0.0,36200.0
2023-03-26,0.0,38000.0
2023-03-27,0.0,38000.0
2023-03-28,0.0,37000.0
2023-03-29,0.0,39200.0
2023-03-30,0.0,40800.0
2023-03-31,10.2,38100.0
2023-04-01,0.5,38500.0
2023-04-02,6.4,48000.0
2023-04-03,2.3,55200.0
2023-04-04,0.0,54600.0
2023-04-05,0.0,51100.0
2023-04-06,11.4,48100.0
2023-04-07,2.3,52900.0
2023-04-08,3.8,61400.0
2023-04-09,14.2,61200.0
2023-04-10,17.0,66500.0
2023-04-11,2.3,90200.0
2023-04-12,0.0,99200.0
2023-04-13,0.0,93700.0
2023-04-14,0.0,81200.0
2023-04-15,0.5,67800.0
2023-04-16,8.6,57800.0
2023-04-17,1.3,51400.0
2023-04-18,3.0,47900.0
2023-04-19,0.5,47400.0
2023-04-20,7.9,48100.0
2023-04-21,0.0,51500.0
2023-04-22,3.6,56300.0
2023-04-23,11.7,61900.0
2023-04-24,0.8,67000.0
2023-04-25,0.0,68200.0
2023-04-26,0.0,65300.0
2023-04-27,0.0,60300.0
2023-04-28,0.0,58000.0
2023-04-29,0.0,58100.0
2023-04-30,0.0,58500.0
2023-05-01,0.5,54600.0
2023-05-02,0.3,48800.0
2023-05-03,0.0,43900.0
2023-05-04,1.3,40900.0
2023-05-05,17.8,39400.0
2023-05-06,0.0,37500.0
2023-05-07,0.0,36500.0
2023-05-08,0.3,36600.0
2023-05-09,0.0,36100.0
2023-05-10,0.0,34700.0
2023-05-11,0.0,33200.0
2023-05-12,0.0,33600.0
2023-05-13,0.0,32800.0
2023-05-14,0.0,33200.0
2023-05-15,3.0,34200.0
2023-05-16,0.0,33600.0
2023-05-17,0.0,32100.0
2023-05-18,0.0,31700.0
2023-05-19,0.0,30900.0
2023-05-20,0.3,29400.0
2023-05-21,0.0,27400.0
2023-05-22,0.3,25400.0
2023-05-23,0.0,24900.0
2023-05-24,0.0,24700.0
2023-05-25,0.0,23400.0
2023-05-26,0.0,22700.0
2023-05-27,0.0,22800.0
2023-05-28,0.0,21100.0
2023-05-29,0.0,20700.0
2023-05-30,0.0,18800.0
2023-05-31,0.0,17300.0
2023-06-01,0.0,17400.0
2023-06-02,0.0,17600.0
2023-06-03,0.0,15900.0
2023-06-04,0.0,13500.0
2023-06-05,0.0,13100.0
2023-06-06,0.0,14300.0
2023-06-07,0.0,15000.0
2023-06-08,0.0,14800.0
2023-06-09,4.8,13600.0
2023-06-10,5.8,12600.0
2023-06-11,0.0,11700.0
2023-06-12,0.0,13700.0
2023-06-13,0.0,13400.0
2023-06-14,0.0,12600.0
2023-06-15,0.0,12500.0
2023-06-16,3.3,12700.0
2023-06-17,1.8,10600.0
2023-06-18,4.3,11300.0
2023-06-19,0.3,12100.0
2023-06-20,10.7,11600.0
2023-06-21,0.0,11100.0
2023-06-22,0.0,9070.0
2023-06-23,0.0,9140.0
2023-06-24,0.0,10500.0
2023-06-25,0.0,8680.0
2023-06-26,0.0,8940.0
2023-06-27,0.0,10000.0
2023-06-28,0.0,11100.0
2023-06-29,0.0,10500.0
2023-06-30,0.0,8990.0
2023-07-01,0.0,10100.0
2023-07-02,0.0,8570.0
2023-07-03,0.0,7940.0
2023-07-04,0.0,8050.0
2023-07-05,0.0,7680.0
2023-07-06,0.0,8290.0
2023-07-07,0.0,8210.0
2023-07-08,0.0,7950.0
2023-07-09,0.0,8100.0
2023-07-10,0.0,8950.0
2023-07-11,0.0,8710.0
2023-07-12,0.0,9240.0
2023-07-13,0.0,9000.0
2023-07-14,0.0,8180.0
2023-07-15,0.0,6440.0
2023-07-16,0.0,7350.0
2023-07-17,0.0,6990.0
2023-07-18,0.0,5210.0
2023-07-19,0.0,7490.0
2023-07-20,0.0,8780.0
2023-07-21,0.0,7950.0
2023-07-22,0.0,7430.0
2023-07-23,0.0,6660.0
2023-07-24,2.3,6740.0
2023-07-25,0.0,6200.0
2023-07-26,0.0,5070.0
2023-07-27,0.0,6130.0
2023-07-28,0.0,6470.0
2023-07-29,0.0,9030.0
2023-07-30,0.0,8180.0
2023-07-31,0.0,6660.0
2023-08-01,0.0,5770.0
2023-08-02,0.0,6330.0
2023-08-03,0.0,6020.0
2023-08-04,0.0,6750.0
2023-08-05,0.5,6190.0
2023-08-06,0.0,7180.0
2023-08-07,0.5,6690.0
2023-08-08,0.0,6320.0
2023-08-09,0.0,7620.0
2023-08-10,0.0,6130.0
2023-08-11,0.0,8200.0
2023-08-12,0.0,6220.0
2023-08-13,0.0,6220.0
2023-08-14,0.0,5520.0
2023-08-15,0.0,8600.0
2023-08-16,0.0,7820.0
2023-08-17,0.0,6600.0
2023-08-18,0.0,6370.0
2023-08-19,0.0,6030.0
2023-08-20,0.0,6230.0
2023-08-21,0.0,7210.0
2023-08-22,0.5,7610.0
2023-08-23,1.0,6140.0
2023-08-24,0.0,4620.0
2023-08-25,0.5,4730.0
2023-08-26,0.0,7330.0
2023-08-27,0.0,8230.0
2023-08-28,0.0,8660.0
2023-08-29,3.0,8260.0
2023-08-30,0.3,7190.0
2023-08-31,0.5,7600.0
2023-09-01,0.0,9650.0
2023-09-02,0.0,9380.0
2023-09-03,1.5,7900.0
2023-09-04,1.8,7540.0
2023-09-05,0.0,6760.0
2023-09-06,0.0,6940.0
2023-09-07,0.0,5880.0
2023-09-08,0.0,7050.0
2023-09-09,0.0,8180.0
2023-09-10,0.0,8820.0
2023-09-11,0.0,7880.0
2023-09-12,1.3,8580.0
2023-09-13,0.0,4860.0
2023-09-14,0.0,6130.0
2023-09-15,0.0,6780.0
2023-09-16,0.0,5800.0
2023-09-17,0.0,6040.0
2023-09-18,2.8,5510.0
2023-09-19,0.0,6000.0
2023-09-20,10.4,5440.0
2023-09-21,0.0,5530.0
2023-09-22,0.0,7800.0
2023-09-23,3.8,6200.0
2023-09-24,15.5,6990.0
2023-09-25,20.8,8380.0
2023-09-26,15.2,11000.0
2023-09-27,10.9,9060.0
2023-09-28,3.3,8610.0
2023-09-29,0.0,7790.0
2023-09-30,0.0,7640.0
2023-10-01,0.0,8850.0
2023-10-02,11.4,10200.0
2023-10-03,1.0,9910.0
2023-10-04,0.0,10400.0
2023-10-05,0.0,9420.0
2023-10-06,0.0,10100.0
2023-10-07,0.0,10400.0
2023-10-08,0.0,11100.0
2023-10-09,0.8,12100.0
2023-10-10,9.7,12200.0
2023-10-11,9.9,12500.0
2023-10-12,0.0,15600.0
2023-10-13,3.0,18100.0
2023-10-14,1.0,16600.0
2023-10-15,1.0,14400.0
2023-10-16,14.5,13400.0
2023-10-17,1.5,14300.0
2023-10-18,0.0,14800.0
2023-10-19,0.0,16600.0
2023-10-20,0.0,15800.0
2023-10-21,0.0,15300.0
2023-10-22,0.0,13400.0
2023-10-23,0.0,14200.0
2023-10-24,15.2,14200.0
2023-10-25,4.3,15700.0
2023-10-26,0.0,15100.0
2023-10-27,0.0,15700.0
2023-10-28,0.0,15200.0
2023-10-29,0.0,14100.0
2023-10-30,0.0,13400.0
2023-10-31,0.0,13200.0
2023-11-01,10.4,12300.0
2023-11-02,22.1,13300.0
2023-11-03,8.4,14900.0
2023-11-04,29.0,18100.0
2023-11-05,7.9,25500.0
2023-11-06,26.2,35800.0
2023-11-07,0.0,48700.0
2023-11-08,0.0,51000.0
2023-11-09,3.6,43500.0
2023-11-10,2.5,35400.0
2023-11-11,11.4,29800.0
2023-11-12,6.6,26800.0
2023-11-13,1.3,25300.0
2023-11-14,0.0,23800.0
2023-11-15,0.0,21200.0
2023-11-16,0.0,19900.0
2023-11-17,0.0,18800.0
2023-11-18,6.9,18600.0
2023-11-19,0.0,17600.0
2023-11-20,0.0,17800.0
2023-11-21,4.3,18400.0
2023-11-22,2.8,19900.0
2023-11-23,0.0,19800.0
2023-11-24,0.0,18900.0
2023-11-25,0.0,17700.0
2023-11-26,0.0,17400.0
2023-11-27,0.0,17000.0
2023-11-28,0.0,17000.0
2023-11-29,0.0,15300.0
2023-11-30,3.6,15200.0
2023-12-01,16.0,14700.0
2023-12-02,10.9,18200.0
2023-12-03,5.6,37300.0
2023-12-04,34.5,77200.0
2023-12-05,60.7,101000.0
2023-12-06,8.9,112000.0
2023-12-07,10.2,114000.0
2023-12-08,0.0,109000.0
2023-12-09,16.3,102000.0
2023-12-10,3.6,105000.0
2023-12-11,0.0,113000.0
2023-12-12,0.0,111000.0
2023-12-13,0.0,106000.0
2023-12-14,3.6,94600.0
2023-12-15,0.0,82100.0
2023-12-16,0.0,71200.0
2023-12-17,0.0,60900.0
2023-12-18,1.3,51900.0
2023-12-19,3.0,46200.0
2023-12-20,0.0,42300.0
2023-12-21,0.0,38400.0
